Company,Symbol,Weight,Security,SEC_filings,GICS,GICS_Sub_Industry,Headquarters_Location,Date_First_Added,CIK,Founded
TransDigm Group Incorporated,TDG,0.078543,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1260221,1993
Teledyne Technologies Incorporated,TDY,0.04963,Teledyne Technologies,reports,Industrials,Aerospace & Defense,"Thousand Oaks, California",2020-06-22,1094285,1960
Bio-Techne Corporation,TECH,0.046711,Bio-Techne,reports,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,842023,1976
TE Connectivity Ltd.,TEL,0.129572,TE Connectivity,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,1385157,2007
Teradyne Inc.,TER,0.065619,Teradyne,reports,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020-09-21,97210,1960
Truist Financial Corporation,TFC,0.191791,Truist Financial,reports,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04,92230,1872
Teleflex Incorporated,TFX,0.037702,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,96943,1943
Target Corporation,TGT,0.276557,Target,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,27419,1902
TJX Companies Inc,TJX,0.225693,TJX Companies,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,109198,1987
Thermo Fisher Scientific Inc.,TMO,0.661512,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,97745,2006 (1902)
T-Mobile US Inc.,TMUS,0.18013,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994
Tapestry Inc.,TPR,0.028411,Tapestry,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",,1116132,2017
Trimble Inc.,TRMB,0.054336,Trimble,reports,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",2021-01-21,864749,1978
T. Rowe Price Group,TROW,0.110601,T. Rowe Price,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937
Travelers Companies Inc.,TRV,0.098834,The Travelers Companies,reports,Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853
Tractor Supply Company,TSCO,0.065597,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24,916365,1938
Tesla Inc,TSLA,1.892696,Tesla,reports,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",2020-12-21,1318605,2003
Tyson Foods Inc. Class A,TSN,0.064555,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,100493,1935
Trane Technologies plc,TT,0.117606,Trane Technologies,reports,Industrials,Building Products,"Dublin, Ireland",2010-11-17,1466258,1871
Take-Two Interactive Software Inc.,TTWO,0.053415,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York City, New York",2018-03-19,946581,1993
Twitter Inc.,TWTR,0.088514,Twitter,reports,Communication Services,Interactive Media & Services,"San Francisco, California",2018-06-07,1418091,2006
Texas Instruments Incorporated,TXN,0.439912,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
Textron Inc.,TXT,0.041801,Textron,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346,1923
Tyler Technologies Inc.,TYL,0.052774,Tyler Technologies,reports,Information Technology,Application Software,"Plano, Texas",2020-06-22,860731,1966
Under Armour Inc. Class C,UA,0.008718,Under Armour (Class C),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016-04-08,1336917,1996
Under Armour Inc. Class A,UAA,0.009796,Under Armour (Class A),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014-05-01,1336917,1996
United Airlines Holdings Inc.,UAL,0.034073,United Airlines,reports,Industrials,Airlines,"Chicago, Illinois",2015-09-03,100517,1967
UDR Inc.,UDR,0.043356,UDR,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,74208,1972
Universal Health Services Inc. Class B,UHS,0.024409,Universal Health Services,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915,1979
Ulta Beauty Inc,ULTA,0.051696,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,1403568,1990
UnitedHealth Group Incorporated,UNH,1.177921,UnitedHealth Group,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766,1977
Union Pacific Corporation,UNP,0.399944,Union Pacific,reports,Industrials,Railroads,"Omaha, Nebraska",1957-03-04,100885,1862
United Parcel Service Inc. Class B,UPS,0.381623,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,1090727,1907
United Rentals Inc.,URI,0.06012,United Rentals,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1067701,1997
U.S. Bancorp,USB,0.191073,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
Visa Inc. Class A,V,0.905019,Visa,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,1403161,1958
V.F. Corporation,VFC,0.056861,VF Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1979-06-30,103379,1899
ViacomCBS Inc. Class B,VIAC,0.044845,ViacomCBS,reports,Communication Services,Movies & Entertainment,"New York City, New York",,813828,2019 (1952)
Valero Energy Corporation,VLO,0.072479,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
Vulcan Materials Company,VMC,0.068076,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,1396009,1909
Vornado Realty Trust,VNO,0.016135,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York City, New York",,899689,1982
Verisk Analytics Inc,VRSK,0.092141,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
VeriSign Inc.,VRSN,0.060569,Verisign,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,1014473,1995
Vertex Pharmaceuticals Incorporated,VRTX,0.141591,Vertex Pharmaceuticals,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,875320,1989
Ventas Inc.,VTR,0.049655,Ventas,reports,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,740260,1998
Viatris Inc.,VTRS,0.039814,Viatris,reports,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,1792044,1961
Verizon Communications Inc.,VZ,0.56828,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983-11-30,732712,1983 (1877)
Westinghouse Air Brake Technologies Corporation,WAB,0.042354,Wabtec,reports,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",2019-02-27,943452,1999 (1869)
Waters Corporation,WAT,0.054989,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958
Walgreens Boots Alliance Inc,WBA,0.090476,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,1618921,2014
Western Digital Corporation,WDC,0.044202,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,106040,1970
WEC Energy Group Inc,WEC,0.078375,WEC Energy Group,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,783325,1896
Welltower Inc.,WELL,0.090412,Welltower,reports,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,766704,1970
Wells Fargo & Company,WFC,0.482899,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",1976-06-30,72971,1852
Whirlpool Corporation,WHR,0.035625,Whirlpool Corporation,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911
Willis Towers Watson Public Limited Company,WLTW,0.074713,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, England",2016-01-05,1140536,2016
Waste Management Inc.,WM,0.160565,Waste Management,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968
Williams Companies Inc.,WMB,0.079492,Williams Companies,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,107263,1908
Walmart Inc.,WMT,0.512917,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,104169,1962
W. R. Berkley Corporation,WRB,0.028492,W. R. Berkley Corporation,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544,1967
WestRock Company,WRK,0.02912,WestRock,reports,Materials,Paper Packaging,"Atlanta, Georgia",,1732845,2015
West Pharmaceutical Services Inc.,WST,0.083809,West Pharmaceutical Services,reports,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020-05-22,105770,1923
Weyerhaeuser Company,WY,0.073778,Weyerhaeuser,reports,Real Estate,Specialized REITs,"Seattle, Washington",,106535,1900
Wynn Resorts Limited,WYNN,0.022099,Wynn Resorts,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14,1174922,2002
Xcel Energy Inc.,XEL,0.093276,Xcel Energy,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,72903,1909
Xilinx Inc.,XLNX,0.125349,Xilinx,reports,Information Technology,Semiconductors,"San Jose, California",1999-11-08,743988,1984
Exxon Mobil Corporation,XOM,0.647539,ExxonMobil,reports,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088,1999
DENTSPLY SIRONA Inc.,XRAY,0.029658,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,818479,2016 (1969)
Xylem Inc.,XYL,0.053038,Xylem,reports,Industrials,Industrial Machinery,"White Plains, New York",2011-11-01,1524472,2011
Yum! Brands Inc.,YUM,0.100377,Yum! Brands,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061,1997
Zimmer Biomet Holdings Inc.,ZBH,0.064069,Zimmer Biomet,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,1136869,1927
Zebra Technologies Corporation Class A,ZBRA,0.078643,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,877212,1969
Zions Bancorporation N.A.,ZION,0.024844,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22,109380,1873
Zoetis Inc. Class A,ZTS,0.286552,Zoetis,reports,Health Care,Pharmaceuticals,"Parsippany, New Jersey",2013-06-21,1555280,1952
