Company,Symbol,Weight,Security,SEC_filings,GICS,GICS_Sub_Industry,Headquarters_Location,Date_First_Added,CIK,Founded
salesforce.com inc.,CRM,0.625742,Salesforce,reports,Information Technology,Application Software,"San Francisco, California",2008-09-15,1108524,1999
Cisco Systems Inc.,CSCO,0.65819,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984
CSX Corporation,CSX,0.202468,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,277948,1980
Cintas Corporation,CTAS,0.097076,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929
Catalent Inc,CTLT,0.05257,Catalent,reports,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020-09-21,1596783,2007
Coterra Energy Inc.,CTRA,0.040712,Coterra,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,858470,2021 (1989)
Cognizant Technology Solutions Corporation Class A,CTSH,0.112469,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994
Corteva Inc,CTVA,0.084816,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019-06-03,1755672,2019
Citrix Systems Inc.,CTXS,0.026763,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",1999-12-01,877890,1989
CVS Health Corporation,CVS,0.341324,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,64803,1996
Chevron Corporation,CVX,0.566949,Chevron,reports,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879
Caesars Entertainment Inc,CZR,0.046764,Caesars Entertainment,reports,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021-03-22,1590895,1973
Dominion Energy Inc,D,0.162672,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983
Delta Air Lines Inc.,DAL,0.060065,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,27904,1929
DuPont de Nemours Inc.,DD,0.101532,DuPont,reports,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,1666700,2017
Deere & Company,DE,0.248135,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,315189,1837
Discover Financial Services,DFS,0.084718,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1393612,1985
Dollar General Corporation,DG,0.134373,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,29534,1939
Quest Diagnostics Incorporated,DGX,0.054067,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,1022079,1967
D.R. Horton Inc.,DHI,0.085283,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,882184,1978
Danaher Corporation,DHR,0.516773,Danaher,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969
Walt Disney Company,DIS,0.688124,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1744489,1923
Discovery Inc. Class A,DISCA,0.009651,Discovery (Series A),reports,Communication Services,Broadcasting,"New York City, New York",2010-03-01,1437107,1985
Discovery Inc. Class C,DISCK,0.016644,Discovery (Series C),reports,Communication Services,Broadcasting,"New York City, New York",2014-08-07,1437107,1985
DISH Network Corporation Class A,DISH,0.020166,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13,1001082,1980
Digital Realty Trust Inc.,DLR,0.124795,Digital Realty Trust,reports,Real Estate,Specialized REITs,"Austin, Texas",2016-05-18,1297996,2004
Dollar Tree Inc.,DLTR,0.079294,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,935703,1986
Dover Corporation,DOV,0.062578,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,29905,1955
Dow Inc.,DOW,0.102999,Dow,reports,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788,2019
Domino's Pizza Inc.,DPZ,0.050478,Domino's Pizza,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960
Duke Realty Corporation,DRE,0.060555,Duke Realty,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017-07-26,783280,1972
Darden Restaurants Inc.,DRI,0.046432,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938
DTE Energy Company,DTE,0.058578,DTE Energy,reports,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340,1995
Duke Energy Corporation,DUK,0.205844,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904
DaVita Inc.,DVA,0.018575,DaVita,reports,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,927066,1979
Devon Energy Corporation,DVN,0.06217,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1090012,1971
DXC Technology Co.,DXC,0.019492,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,1688568,2017
DexCom Inc.,DXCM,0.136041,DexCom,reports,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1093557,1999
Electronic Arts Inc.,EA,0.095411,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,712515,1982
eBay Inc.,EBAY,0.105021,eBay,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",2002-07-22,1065088,1995
Ecolab Inc.,ECL,0.143909,Ecolab,reports,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,31462,1923
Consolidated Edison Inc.,ED,0.076863,Consolidated Edison,reports,Utilities,Electric Utilities,"New York City, New York",,1047862,1823
Equifax Inc.,EFX,0.086762,Equifax,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,33185,1899
Edison International,EIX,0.065792,Edison International,reports,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886
Estee Lauder Companies Inc. Class A,EL,0.206805,Estée Lauder Companies,reports,Consumer Staples,Personal Products,"New York City, New York",2006-01-05,1001250,1946
Eastman Chemical Company,EMN,0.04056,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01,915389,1920
Emerson Electric Co.,EMR,0.138031,Emerson Electric,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604,1890
Enphase Energy Inc.,ENPH,0.062099,Enphase Energy,reports,Information Technology,Electronic Components,"Fremont, California",2021-01-07,1463101,2006
EOG Resources Inc.,EOG,0.125953,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,821189,1999
EPAM Systems Inc.,EPAM,0.091363,EPAM Systems,reports,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-14,1352010,1993
Equinix Inc.,EQIX,0.190534,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",2015-03-20,1101239,1998
Equity Residential,EQR,0.076279,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03,906107,1969
Eversource Energy,ES,0.079535,Eversource Energy,reports,Utilities,Multi-Utilities,"Hartford, Connecticut",,72741,1966
Essex Property Trust Inc.,ESS,0.056563,Essex Property Trust,reports,Real Estate,Residential REITs,"San Mateo, California",2014-04-02,920522,1971
Eaton Corp. Plc,ETN,0.168783,Eaton,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911
Entergy Corporation,ETR,0.05675,Entergy,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,65984,1913
Etsy Inc.,ETSY,0.071618,Etsy,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",2020-09-21,1370637,2005
Evergy Inc.,EVRG,0.039515,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,1711269,1909
Edwards Lifesciences Corporation,EW,0.193106,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1099800,1958
Exelon Corporation,EXC,0.13477,Exelon,reports,Utilities,Multi-Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
Expeditors International of Washington Inc.,EXPD,0.055687,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,746515,1979
Expedia Group Inc.,EXPE,0.061319,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2007-10-02,1324424,1996
Extra Space Storage Inc.,EXR,0.074546,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016-01-19,1289490,1977
Ford Motor Company,F,0.196676,Ford,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903
Diamondback Energy Inc.,FANG,0.04354,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,1539838,2007
Fastenal Company,FAST,0.090959,Fastenal,reports,Industrials,Building Products,"Winona, Minnesota",2008-09-15,815556,1967
Meta Platforms Inc. Class A,FB,1.990986,Meta Platforms,reports,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004
Fortune Brands Home & Security Inc.,FBHS,0.034586,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",2016-06-22,1519751,2011 (1969)
Freeport-McMoRan Inc.,FCX,0.141827,Freeport-McMoRan,reports,Materials,Copper,"Phoenix, Arizona",,831259,1912
FedEx Corporation,FDX,0.15599,FedEx,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1048911,1971
FirstEnergy Corp.,FE,0.056555,FirstEnergy,reports,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997
F5 Inc.,FFIV,0.035708,F5,reports,Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,1048695,1996
Fidelity National Information Services Inc.,FIS,0.164748,Fidelity National Information Services,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",2006-11-10,1136893,1968
Fiserv Inc.,FISV,0.154626,Fiserv,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",2001-04-02,798354,1984
Fifth Third Bancorp,FITB,0.073385,Fifth Third Bancorp,reports,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858
FLEETCOR Technologies Inc.,FLT,0.044995,Fleetcor,reports,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",2018-06-20,1175454,2000
FMC Corporation,FMC,0.033973,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19,37785,1883
Fox Corporation Class B,FOX,0.012945,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment,"New York City, New York",2015-09-18,1754301,2019
Fox Corporation Class A,FOXA,0.030375,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment,"New York City, New York",2013-07-01,1754301,2019
First Republic Bank,FRC,0.090937,First Republic Bank,reports,Financials,Regional Banks,"San Francisco, California",2019-01-02,1132979,1985
Federal Realty Investment Trust,FRT,0.02308,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,34903,1962
Fortinet Inc.,FTNT,0.115664,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11,1262039,2000
Fortive Corp.,FTV,0.066134,Fortive,reports,Industrials,Industrial Machinery,"Everett, Washington",2016-07-01,1659166,2016
General Dynamics Corporation,GD,0.118376,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,40533,1899
General Electric Company,GE,0.254907,General Electric,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892
Gilead Sciences Inc.,GILD,0.234518,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",2004-07-01,882095,1987
General Mills Inc.,GIS,0.106065,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969-03-31,40704,1856
Globe Life Inc.,GL,0.020981,Globe Life,reports,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,320335,1900
Corning Inc,GLW,0.071615,Corning,reports,Information Technology,Electronic Components,"Corning, New York",,24741,1851
General Motors Company,GM,0.20248,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858,1908
Generac Holdings Inc.,GNRC,0.056369,Generac Holdings,reports,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-22,1474735,1959
Alphabet Inc. Class C,GOOG,2.058806,Alphabet (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998
Alphabet Inc. Class A,GOOGL,2.20259,Alphabet (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998
Genuine Parts Company,GPC,0.048554,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1973-12-31,40987,1925
Global Payments Inc.,GPN,0.093751,Global Payments,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2016-04-25,1123360,2000
Gap Inc.,GPS,0.008939,Gap,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",1986-08-31,39911,1969
